Property Description,Land Area,Land Unit,Unit Price,Land Value,Class Unit Price,Class Value
,,Not Available,Not Available,"$295,217",Not Available,Not Available
,,Not Available,Not Available,"$224,057",Not Available,Not Available
,,Not Available,Not Available,"$70,000",Not Available,Not Available
,,Not Available,Not Available,"$18,000",Not Available,Not Available
,,Not Available,Not Available,"$211,500",Not Available,Not Available
,,Not Available,Not Available,"$273,750",Not Available,Not Available
,,Not Available,Not Available,"$273,750",Not Available,Not Available
,,Not Available,Not Available,"$90,000",Not Available,Not Available
,,Not Available,Not Available,"$90,000",Not Available,Not Available
,,Not Available,Not Available,"$90,000",Not Available,Not Available
,,Not Available,Not Available,"$353,280",Not Available,Not Available
,,Not Available,Not Available,"$220,480",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,Not Available,Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
,,Not Available,Not Available,"$75,000",Not Available,Not Available
